OBJECTID,COUNTYNBR,NAME,COUNTYSEAT,SHORTDESC,UPDATED,FIPS,ENTITYNBR,SALESTAXID,IMSCOLOR,MINNAME,POPLASTCENSUS,POPLASTESTIMATE,UGRCODE,GNIS,GlobalID,Shape__Area,Shape__Length
189,09,Hatch,0,HATCH,12/28/2012 12:00:00 AM,33760,3050,006,2, ,132,142,HAT,1428572,e7622148-5013-4494-883b-3cf99002499e,7544729.30082607,14477.0273647137
190,18,Sandy,0,SANDY CITY,6/2/2026 12:00:00 AM,67440,3080,131,4,Sandy City,96904,93022,SAN,1455905,2a64f35e-853d-496f-a8e2-101a61323100,110327054.131804,155971.017721803
191,27,Hildale,0,HILDALE CITY,,35300,3020,035,2, ,1127,1184,HIL,1450387,a31080d6-a8f1-4530-a98c-cd67f434ceaa,36859181.328125,50663.8898268486
192,02,Garland,0,GARLAND,3/6/2026 12:00:00 AM,28150,3070,044,1, ,2589,2613,GAL,1428146,6159fb1d-8170-48af-9724-3126b63af3f3,8719128.234375,26356.6098532307
193,10,Castle Valley,0,CASTLE VALLEY,9/19/2007 12:00:00 AM,11000,3010,005,1, ,347,360,CSV,1450284,1c0fde9c-bb42-454e-a86d-f02bfb0a967f,37360377.4726563,31034.0267495202
194,29,Uintah,0,UINTAH,2/11/2021 12:00:00 AM,77890,3110,043,3, ,1454,1422,UIN,1446835,85d7c0c7-33c3-4949-91b4-763a8b551e22,5738380.48393726,18597.9701035744
195,29,Marriott-Slaterville,0,MARRIOTT-SLATERVILLE CITY,9/14/2023 12:00:00 AM,48300,3035,022,4, ,2135,2206,MSL,1851823,054818bd-45f0-4627-98fb-8b9740893d4e,34812061.966507,36462.9692514514
196,26,Charleston,0,CHARLESTON,7/21/2025 12:00:00 AM,12420,3010,003,4, ,436,421,CHA,1426539,8f83069c-fa9b-4900-8d7c-27955485bae1,15037905.7409859,23267.2138364046
197,28,Lyman,0,LYMAN,,46410,3030,008,3, ,196,220,LYM,1430020,546fbb0b-850f-413a-8788-4c7d6b3075b6,7634116.296875,13378.6482104372
198,18,West Jordan,0,WEST JORDAN CITY,3/22/2022 12:00:00 AM,82950,3110,155,2, ,116961,116664,WJC,1434086,62ce1a8d-e575-4cd6-a899-61e66543ab33,147750691.135025,69278.249695587
199,25,Highland,0,HIGHLAND,7/10/2023 12:00:00 AM,35190,3080,099,2, ,19348,19902,HGH,1448472,c2976336-82ce-4df8-a78e-a6498403befe,38894315.5388396,53363.990823242
200,08,Orangeville,0,ORANGEVILLE,3/26/2012 12:00:00 AM,56860,3080,016,4, ,1224,1258,ORA,1431021,c74c1193-290d-403a-9061-5fd722cf7e5e,6141808.515625,18712.6188530369
201,26,Heber City,1,HEBER CITY,4/20/2026 12:00:00 AM,34200,3020,008,3,Heber,,17865,HEB,1455878,027ff467-0c27-42b9-b5aa-14575c6ef478,112446701.572265,95105.8542137711
202,18,Alta,0,ALTA,,00650,3010,003,3, ,228,227,ALA,1437483,e53141d9-2f42-4ba4-ac10-bdc2e0e7f64e,20350476.8515625,23115.2523858815
203,21,Glenwood,0,GLENWOOD,8/31/2010 12:00:00 AM,29580,3040,018,2, ,474,491,GLW,1441332,d806899f-54fe-4ffa-a6d8-86e88da8cc14,2218148.41796875,6144.29553690352
204,04,Helper,0,HELPER CITY,2/2/2023 12:00:00 AM,34530,3020,016,2,Helper,2112,2131,HEL,1428654,1c9d31ed-bbfb-444e-b3c7-e6d48676cbf7,7925086.97462034,19810.5691004341
205,14,Holden,0,HOLDEN,,35960,3040,024,3, ,438,458,HDN,1428763,05e4055b-1840-4adc-8b94-a6d835bad3f4,2595094.93359375,8905.30249037075
206,13,Kanab,1,KANAB CITY,2/16/2023 12:00:00 AM,39920,3040,004,4,Kanab,4683,5131,KNB,1429276,b5cf50c9-22db-4fcd-88a3-a049ae6819a9,63367452.25,43974.9795025066
207,12,Mona,0,MONA,5/24/2024 12:00:00 AM,51140,3030,024,3, ,1750,1906,MNA,1443548,bfd323b3-443d-48ca-8e2c-a2a70b87e4f5,12177197.3734856,18427.773399564
208,25,Cedar Hills,0,CEDAR HILLS,10/6/2022 12:00:00 AM,11440,3040,123,3, ,10019,9956,CHL,1455858,737d4074-e594-48f7-9ad3-df4daf8004ab,12268860.6914063,28507.4224407721
209,06,Woods Cross,0,WOODS CROSS CITY,5/29/2015 12:00:00 AM,85370,3150,057,4, ,11410,11487,WCR,1447521,f8134baa-6eec-437c-a226-3b2abb587339,17402206.2773438,25597.6272526711
210,20,Ephraim,0,EPHRAIM,2/1/2026 12:00:00 AM,23530,3020,008,2,Ephraim,5611,5937,EPH,1440944,738d01ab-b835-4646-82e2-bb4fd08e6e74,22322745.484375,35287.1074976667
211,19,Monticello,1,MONTICELLO,6/6/2020 12:00:00 AM,51580,3020,009,3,Monticello,1824,1752,MTC,1443568,3b94a865-933c-4f25-b889-72db2f2f4f7f,13946669.171875,26656.5889567529
212,25,Goshen,0,GOSHEN,2/24/2009 12:00:00 AM,30130,3070,043,1, ,978,959,GOS,1428272,4028733e-0c48-415e-91be-0813fd8515f4,3622529.83203125,9937.3039630066
213,25,Pleasant Grove,0,PLEASANT GROVE,11/2/2023 12:00:00 AM,60930,3140,088,4, ,37726,37630,PGR,1444479,0f8684b7-c3b7-411d-ba00-d89ce6090f59,40976170.078125,43582.849091875
214,11,Parowan,1,PAROWAN,10/15/2025 12:00:00 AM,58510,3060,019,2,Parowan,2996,3171,PWN,1444224,18e3947d-903a-4b5a-8873-584e0948178a,31050164.860755,61034.1515805931
215,04,East Carbon,0,EAST CARBON CITY,12/18/2013 12:00:00 AM,20890,3010,,1,East Carbon City,1556,1567,ECC,2410386,e991a69c-c124-43a4-b4fd-8aedf4a13ba5,49160683.3359375,57584.2515952574
216,21,Annabella,0,ANNABELLA TOWN,8/31/2010 12:00:00 AM,01750,3010,001,1, ,836,872,ANN,1438228,b1c1be27-92a4-40e7-98c0-2d187b03cf3d,2773608.9296875,10650.5791648009
217,06,Layton,0,LAYTON,2/4/2026 12:00:00 AM,43660,3080,030,1,Layton,81773,82601,LAY,1442459,b5a0efdb-020b-486e-bb19-64abe1a38f28,103831672.301145,87512.8294482312
218,04,Price,1,PRICE,3/8/2012 12:00:00 AM,62030,3030,035,4,Price,8216,8262,PRI,1431465,fae0c297-6b4a-46c8-b31f-66ac9300ac50,21984077.4335938,28787.3683279132
219,18,Salt Lake City,1,SALT LAKE CITY,7/3/2025 12:00:00 AM,67000,3070,122,4,Salt Lake City,199723,204657,SLC,1454997,6897ecd5-406a-4267-83e4-06ff8afbd81d,509449229.925507,162019.443320005
220,13,Glendale,0,GLENDALE,,29360,3030,002,3, ,312,310,GLD,1428204,d044ba8d-e17f-4efd-89e9-8dd808543615,28723944.3125,43520.450889435
221,27,Virgin,0,VIRGIN TOWN,1/11/2019 12:00:00 AM,80530,3120,026,1, ,670,697,VIR,1433898,65e10705-f199-48ea-9c5c-bd83e66e8bfb,48278220.875,37204.5195386723
222,29,Roy,0,ROY CITY,11/9/2018 12:00:00 AM,65110,3090,037,4, ,39306,38785,ROY,1432035,7464620f-e728-422e-ab49-0d620e5f0602,37346094.8632813,33427.613143253
223,20,Manti,1,MANTI,6/2/2022 12:00:00 AM,47730,3070,020,3,Manti,3429,3588,MTI,1443136,718e92f5-69d0-41e1-8893-5581303d6d63,13978904.4754376,25900.1864370441
224,26,Independence,0,INDEPENDENCE,11/12/2010 12:00:00 AM,37690,3027,009,1,,121,118,IND,2547779,0879d75e-ae5b-4905-a992-40ee6409db7d,136618049.824219,86160.4137322133
225,27,Apple Valley,0,APPLE VALLEY,1/17/2008 12:00:00 AM,01905,3005,002,3, ,855,900,APP,2061574,5279dc6e-ef42-41da-bb8c-f87b4dcf9bb7,161907332,88233.7924851149
